Renewable,LC,Main,LS,Bmode
0,0,1.000000,0,1
0,1,1.800000,1,1
0,2,2.000000,2,0
0,3,1.800000,3,-1
0,4,1.200000,4,0
0,5,2.000000,5,0
0,6,0.200000,4,-1
0,7,1.000000,5,-1
1,0,1.000000,0,1
1,1,1.800000,1,1
1,2,2.000000,2,0
1,3,1.800000,3,-1
1,4,1.200000,4,0
1,5,2.000000,5,0
1,6,0.200000,4,-1
1,7,1.000000,5,-1
2,0,1.000000,0,1
2,1,1.800000,1,1
2,2,2.000000,2,0
2,3,1.800000,3,-1
2,4,1.200000,4,0
2,5,2.000000,5,0
2,6,0.200000,4,-1
2,7,1.000000,5,-1
3,0,1.000000,0,1
3,1,1.800000,1,1
3,2,2.000000,2,0
3,3,1.800000,3,-1
3,4,1.200000,4,0
3,5,2.000000,5,0
3,6,0.200000,4,-1
3,7,1.000000,5,-1
4,0,1.000000,0,1
4,1,1.800000,1,1
4,2,2.000000,2,0
4,3,1.800000,3,-1
4,4,1.200000,4,0
4,5,2.000000,5,0
4,6,0.200000,4,-1
4,7,1.000000,5,-1
5,0,1.000000,0,1
5,1,1.800000,1,1
5,2,2.000000,2,0
5,3,1.800000,3,-1
5,4,1.200000,4,0
5,5,2.000000,5,0
5,6,0.200000,4,-1
5,7,1.000000,5,-1
6,0,1.000000,0,1
6,1,1.800000,1,1
6,2,2.000000,2,0
6,3,1.800000,3,-1
6,4,1.200000,4,0
6,5,2.000000,5,0
6,6,0.200000,4,-1
6,7,1.000000,5,-1
7,0,1.000000,0,1
7,1,1.800000,1,1
7,2,2.000000,2,0
7,3,1.800000,3,-1
7,4,1.200000,4,0
7,5,2.000000,5,0
7,6,0.200000,4,-1
7,7,1.000000,5,-1
8,0,1.000000,0,1
8,1,1.800000,1,1
8,2,2.000000,2,0
8,3,1.800000,3,-1
8,4,1.200000,4,0
8,5,2.000000,5,0
8,6,0.200000,4,-1
8,7,1.000000,5,-1
9,0,1.000000,0,1
9,1,1.800000,1,1
9,2,2.000000,2,0
9,3,1.800000,3,-1
9,4,1.200000,4,0
9,5,2.000000,5,0
9,6,0.200000,4,-1
9,7,1.000000,5,-1
10,0,1.000000,0,1
10,1,1.800000,1,1
10,2,2.000000,2,0
10,3,1.800000,3,-1
10,4,1.200000,4,0
10,5,2.000000,5,0
10,6,0.200000,4,-1
10,7,1.000000,5,-1
11,0,1.000000,0,1
11,1,1.800000,1,1
11,2,2.000000,2,0
11,3,1.800000,3,-1
11,4,1.200000,4,0
11,5,2.000000,5,0
11,6,0.200000,4,-1
11,7,1.000000,5,-1
12,0,1.000000,0,1
12,1,1.800000,1,1
12,2,2.000000,2,0
12,3,1.800000,3,-1
12,4,1.200000,4,0
12,5,2.000000,5,0
12,6,0.200000,4,-1
12,7,1.000000,5,-1
13,0,1.000000,0,1
13,1,1.800000,1,1
13,2,2.000000,2,0
13,3,1.800000,3,-1
13,4,1.200000,4,0
13,5,2.000000,5,0
13,6,0.200000,4,-1
13,7,1.000000,5,-1
14,0,1.000000,0,1
14,1,1.800000,1,1
14,2,2.000000,2,0
14,3,1.800000,3,-1
14,4,1.200000,4,0
14,5,2.000000,5,0
14,6,0.200000,4,-1
14,7,1.000000,5,-1
15,0,1.000000,0,1
15,1,1.800000,1,1
15,2,2.000000,2,0
15,3,1.800000,3,-1
15,4,1.200000,4,0
15,5,2.000000,5,0
15,6,0.200000,4,-1
15,7,1.000000,5,-1
16,0,1.000000,0,1
16,1,1.800000,1,1
16,2,2.000000,2,0
16,3,1.800000,3,-1
16,4,1.200000,4,0
16,5,2.000000,5,0
16,6,0.200000,4,-1
16,7,1.000000,5,-1
17,0,1.000000,0,1
17,1,1.800000,1,1
17,2,2.000000,2,0
17,3,1.800000,3,-1
17,4,1.200000,4,0
17,5,2.000000,5,0
17,6,0.200000,4,-1
17,7,1.000000,5,-1
18,0,1.000000,0,1
18,1,1.800000,1,1
18,2,2.000000,2,0
18,3,1.800000,3,-1
18,4,1.200000,4,0
18,5,2.000000,5,0
18,6,0.200000,4,-1
18,7,1.000000,5,-1
19,0,1.000000,0,1
19,1,1.800000,1,1
19,2,2.000000,2,0
19,3,1.800000,3,-1
19,4,1.200000,4,0
19,5,2.000000,5,0
19,6,0.200000,4,-1
19,7,1.000000,5,-1
20,0,1.000000,0,1
20,1,1.800000,1,1
20,2,2.000000,2,0
20,3,1.800000,3,-1
20,4,1.200000,4,0
20,5,2.000000,5,0
20,6,0.200000,4,-1
20,7,1.000000,5,-1
21,0,1.000000,0,1
21,1,1.800000,1,1
21,2,2.000000,2,0
21,3,1.800000,3,-1
21,4,1.200000,4,0
21,5,2.000000,5,0
21,6,0.200000,4,-1
21,7,1.000000,5,-1
22,0,1.000000,0,1
22,1,1.800000,1,1
22,2,2.000000,2,0
22,3,1.800000,3,-1
22,4,1.200000,4,0
22,5,2.000000,5,0
22,6,0.200000,4,-1
22,7,1.000000,5,-1
23,0,1.000000,0,1
23,1,1.800000,1,1
23,2,2.000000,2,0
23,3,1.800000,3,-1
23,4,1.200000,4,0
23,5,2.000000,5,0
23,6,0.200000,4,-1
23,7,1.000000,5,-1
24,0,1.000000,0,1
24,1,1.800000,1,1
24,2,2.000000,2,0
24,3,1.800000,3,-1
24,4,1.200000,4,0
24,5,2.000000,5,0
24,6,0.200000,4,-1
24,7,1.000000,5,-1
25,0,1.000000,0,1
25,1,1.800000,1,1
25,2,2.000000,2,0
25,3,1.800000,3,-1
25,4,1.200000,4,0
25,5,2.000000,5,0
25,6,0.200000,4,-1
25,7,1.000000,5,-1
26,0,1.000000,0,1
26,1,1.800000,1,1
26,2,2.000000,2,0
26,3,1.800000,3,-1
26,4,1.200000,4,0
26,5,2.000000,5,0
26,6,0.200000,4,-1
26,7,1.000000,5,-1
27,0,1.000000,0,1
27,1,1.800000,1,1
27,2,2.000000,2,0
27,3,1.800000,3,-1
27,4,1.200000,4,0
27,5,2.000000,5,0
27,6,0.200000,4,-1
27,7,1.000000,5,-1
28,0,1.000000,0,1
28,1,1.800000,1,1
28,2,2.000000,2,0
28,3,1.800000,3,-1
28,4,1.200000,4,0
28,5,2.000000,5,0
28,6,0.200000,4,-1
28,7,1.000000,5,-1
29,0,1.000000,0,1
29,1,1.800000,1,1
29,2,2.000000,2,0
29,3,1.800000,3,-1
29,4,1.200000,4,0
29,5,2.000000,5,0
29,6,0.200000,4,-1
29,7,1.000000,5,-1
30,0,1.000000,0,1
30,1,1.800000,1,1
30,2,2.000000,2,0
30,3,1.800000,3,-1
30,4,1.200000,4,0
