Renewable,LC,Main,LS,Bmode,,,,,,,,,,,,
0,0,0,0,0,,,,,,,,,,,,
0,1,0.8,1,0,,,,,,,,,,,,
0,2,2,2,0,,Sum of Bmode,Column Labels,,,,,,,,,
0,3,1.8,3,-1,,Row Labels,0,1,2,3,4,5,6,7,(blank),Grand Total
0,4,1.2,4,0,,0,0,0,0,-1,0,0,-1,-1,,-3
0,5,2,5,0,,1,0,0,0,-1,0,0,-1,-1,,-3
0,6,0.2,4,-1,,2,0,0,0,-1,0,0,-1,-1,,-3
0,7,1,5,-1,,3,0,0,0,-1,0,0,-1,-1,,-3
1,0,0,0,0,,4,0,0,0,-1,0,0,-1,-1,,-3
1,1,0.8,1,0,,5,0,0,0,-1,0,0,-1,-1,,-3
1,2,2,2,0,,6,0,0,0,-1,0,0,-1,-1,,-3
1,3,1.8,3,-1,,7,0,0,0,-1,0,0,-1,-1,,-3
1,4,1.2,4,0,,8,0,0,0,-1,0,0,-1,-1,,-3
1,5,2,5,0,,9,0,0,0,-1,0,0,-1,-1,,-3
1,6,0.2,4,-1,,10,0,0,0,-1,0,0,-1,-1,,-3
1,7,1,5,-1,,11,0,0,0,-1,0,0,-1,-1,,-3
2,0,0,0,0,,12,0,0,0,-1,0,0,-1,-1,,-3
2,1,0.8,1,0,,13,0,0,0,-1,0,0,-1,-1,,-3
2,2,2,2,0,,14,0,0,0,-1,0,0,-1,-1,,-3
2,3,1.8,3,-1,,15,0,0,0,-1,0,0,-1,-1,,-3
2,4,1.2,4,0,,16,0,0,0,-1,0,0,-1,-1,,-3
2,5,2,5,0,,17,0,0,0,-1,0,0,-1,-1,,-3
2,6,0.2,4,-1,,18,0,0,0,-1,0,0,-1,-1,,-3
2,7,1,5,-1,,19,0,0,0,-1,0,0,-1,-1,,-3
3,0,0,0,0,,20,0,0,0,-1,0,0,-1,-1,,-3
3,1,0.8,1,0,,21,0,0,0,-1,0,0,-1,-1,,-3
3,2,2,2,0,,22,0,0,0,-1,0,0,-1,-1,,-3
3,3,1.8,3,-1,,23,0,0,0,-1,0,0,-1,-1,,-3
3,4,1.2,4,0,,24,0,0,0,-1,0,0,-1,-1,,-3
3,5,2,5,0,,25,0,0,0,-1,0,0,-1,-1,,-3
3,6,0.2,4,-1,,26,0,0,0,-1,0,0,-1,-1,,-3
3,7,1,5,-1,,27,0,0,0,-1,0,0,-1,-1,,-3
4,0,0,0,0,,28,0,0,0,-1,0,0,-1,-1,,-3
4,1,0.8,1,0,,29,0,0,0,-1,0,0,-1,-1,,-3
4,2,2,2,0,,30,0,0,0,-1,0,0,-1,-1,,-3
4,3,1.8,3,-1,,31,0,0,0,-1,0,0,-1,-1,,-3
4,4,1.2,4,0,,32,0,0,0,-1,0,0,-1,-1,,-3
4,5,2,5,0,,33,0,0,0,-1,0,0,-1,-1,,-3
4,6,0.2,4,-1,,34,0,0,0,-1,0,0,-1,-1,,-3
4,7,1,5,-1,,35,0,0,0,-1,0,0,-1,-1,,-3
5,0,0,0,0,,36,0,0,0,-1,0,0,-1,-1,,-3
5,1,0.8,1,0,,37,0,0,0,-1,0,0,-1,-1,,-3
5,2,2,2,0,,38,0,0,0,-1,0,0,-1,-1,,-3
5,3,1.8,3,-1,,39,0,0,0,-1,0,0,-1,-1,,-3
5,4,1.2,4,0,,40,0,0,0,-1,0,0,-1,-1,,-3
5,5,2,5,0,,41,0,0,0,-1,0,0,-1,-1,,-3
5,6,0.2,4,-1,,42,0,0,0,-1,0,0,-1,-1,,-3
5,7,1,5,-1,,43,0,0,0,-1,0,0,-1,-1,,-3
6,0,0,0,0,,44,0,0,0,-1,0,0,-1,-1,,-3
6,1,0.8,1,0,,45,0,0,0,-1,0,0,-1,-1,,-3
6,2,2,2,0,,46,0,0,0,-1,0,0,-1,-1,,-3
6,3,1.8,3,-1,,47,0,0,0,-1,0,0,-1,-1,,-3
6,4,1.2,4,0,,48,0,0,0,-1,0,0,-1,-1,,-3
6,5,2,5,0,,49,0,0,0,-1,0,0,-1,-1,,-3
6,6,0.2,4,-1,,50,0,0,0,-1,0,0,-1,-1,,-3
6,7,1,5,-1,,51,0,0,0,-1,0,0,-1,-1,,-3
7,0,0,0,0,,52,0,0,0,-1,0,0,-1,-1,,-3
7,1,0.8,1,0,,53,0,0,0,-1,0,0,-1,-1,,-3
7,2,2,2,0,,54,0,0,0,-1,0,0,-1,-1,,-3
7,3,1.8,3,-1,,55,0,0,0,-1,0,0,-1,-1,,-3
7,4,1.2,4,0,,56,0,0,0,-1,0,0,-1,-1,,-3
7,5,2,5,0,,57,0,0,0,-1,0,0,-1,-1,,-3
7,6,0.2,4,-1,,58,0,0,0,-1,0,0,-1,-1,,-3
7,7,1,5,-1,,59,0,0,0,-1,0,0,-1,-1,,-3
8,0,0,0,0,,60,0,0,0,-1,0,0,-1,-1,,-3
8,1,0.8,1,0,,61,0,0,0,-1,0,0,-1,-1,,-3
8,2,2,2,0,,62,0,0,0,-1,0,0,-1,-1,,-3
8,3,1.8,3,-1,,63,0,0,0,-1,0,0,-1,-1,,-3
8,4,1.2,4,0,,64,0,0,0,-1,0,0,-1,-1,,-3
8,5,2,5,0,,65,0,0,0,-1,0,0,-1,-1,,-3
8,6,0.2,4,-1,,66,0,0,0,-1,0,0,-1,-1,,-3
8,7,1,5,-1,,67,0,0,0,-1,0,0,-1,-1,,-3
9,0,0,0,0,,68,0,0,0,-1,0,0,-1,-1,,-3
9,1,0.8,1,0,,69,0,0,0,-1,0,0,-1,-1,,-3
9,2,2,2,0,,70,0,0,0,-1,0,0,-1,-1,,-3
9,3,1.8,3,-1,,71,0,0,0,-1,0,0,-1,-1,,-3
9,4,1.2,4,0,,72,0,0,0,-1,0,0,-1,-1,,-3
9,5,2,5,0,,73,0,0,0,-1,0,0,-1,-1,,-3
9,6,0.2,4,-1,,74,0,0,0,-1,0,0,-1,-1,,-3
9,7,1,5,-1,,75,0,0,0,-1,0,0,-1,-1,,-3
10,0,0,0,0,,76,0,0,0,-1,0,0,-1,-1,,-3
10,1,0.8,1,0,,77,0,0,0,-1,0,0,-1,-1,,-3
10,2,2,2,0,,78,0,0,0,-1,0,0,-1,-1,,-3
